id|connected_id|account_ref_selections|card_ref_selections|loan_ref_selections|default_import_type|is_deleted
1855fef8-ff44-4101-a1fc-caf711e5fa2b|final-conn-001|["ref-A","ref-B"]|["card-A"]|[]|BANK|f
1f315cec-ae05-4052-9650-bdac54345c65|test-conn-001|["account-ref-001","account-ref-002"]|["card-ref-001"]|[]|BANK|f
3d9b4f01-5eb5-4ed8-9489-5cb90f8b7334|qa-conn-race-001|["acc-B1"]|["card-B1"]|[]|ALL|f
3fddcdb7-5fe2-4778-9beb-f6018a5cc205|test-conn-123|["test-acc-001"]|[]|[]|BANK|f
4ecab40c-488a-472d-8358-bd7eaf215a9c|dry-run-conn-001|["ref-updated-001"]|["card-updated-001"]|["loan-updated-001"]|ALL|f
504ffcf2-3c35-49c2-b036-c9aafd164e0b|qa-regression-test|["KR-BANK-001"]|[]|[]|BANK|f
50f02522-f8a0-4df5-ae24-dde1e1e7995b|upsert-conn-test|["ACC-001"]|[]|[]|BANK|f
606983d6-9135-4e0e-b421-a10c7949270d|concurrency-test-001|["b1","b2","b3"]|["c1"]|[]|CARD|f
933b86bf-c3e8-463c-98b7-9116d2a9ffae|empty-qa-001|[]|[]|[]|ALL|f
99adb40c-f0d5-4a13-8930-f43ea4455481|test-conn-regression-01|["ref-account-001"]|["ref-card-001"]|[]|ALL|f
9c3475f0-475e-4a28-99ef-0019fa09665f|test-connected-empty-scope-99|[]|[]|[]|ALL|f
a69003cd-9f83-4fce-94e0-290b92a9ebfd|test-conn|["test-ref-001","test-ref-002"]|[]|[]|BANK|f
c4acf417-61e2-4f02-a403-79ecac4678fb|test-conn-qa|["acc-001"]|[]|[]|BANK|f
c500e276-cbb1-4570-9e6c-2f7e2e402f2b|empty-scope-888|[]|[]|[]|ALL|f
d64084e4-f223-4e9f-832e-81bc9d30de2c|qa-conn-test-001|["KR-BANK-001"]|[]|[]|BANK|f
e672d4c0-465e-4c45-bf10-19b8e33d9e9d|qa-conn-concurrent-001|["acc-qa-003"]|["card-qa-001"]|[]|ALL|f
ea8210b2-e937-4eb1-9709-5b78fbe9ad3f|connected-main|["국민 123456-78-901234","신한 987654-32-109876"]|[]|[]|BANK|f
fc255970-fb5b-4ad5-8b25-6a45a0ab3a53|parallel-test-001|["acc-Y"]|["card-2"]|[]|ALL|f
(18 rows)
